"Fact","Fact Note","West Virginia","Value Note for West Virginia","Washington","Value Note for Washington","Virginia","Value Note for Virginia","Vermont","Value Note for Vermont","Utah","Value Note for Utah","Texas","Value Note for Texas"
"Total health care and social assistance receipts/revenue, 2017 ($1,000)","(c)","15,236,903","","56,442,218","","58,792,475","","5,451,626","","18,708,237","","186,108,690",""
"Total transportation and warehousing receipts/revenue, 2017 ($1,000)","(c)","3,068,787","","21,845,661","","20,071,064","","772,885","","10,193,997","","101,947,033",""
"Total retail sales, 2017 ($1,000)","(c)","23,057,778","","160,284,785","","120,162,088","","10,811,281","","50,008,311","","417,231,877",""
"Total retail sales per capita, 2017","(c)","$12,678","","$21,579","","$14,185","","$17,294","","$16,113","","$14,748",""
"Mean travel time to work (minutes), workers age 16 years+, 2017-2021","","26.0","","27.7","","28.2","","23.3","","22.0","","26.6",""
"Median household income (in 2021 dollars), 2017-2021","","$50,884","","$82,400","","$80,615","","$67,674","","$79,133","","$67,321",""
"Per capita income in past 12 months (in 2021 dollars), 2017-2021","","$28,761","","$43,817","","$43,267","","$37,903","","$33,378","","$34,255",""
"Persons in poverty, percent","","16.8%","","9.9%","","10.2%","","10.3%","","8.6%","","14.2%",""
"Total employer establishments, 2021","","35,316","","198,854","","206,271","","20,696","","90,301","","638,183",""
"Total employment, 2021","","519,122","","2,821,109","","3,340,509","","239,758","","1,433,829","","10,798,364",""
"Total annual payroll, 2021 ($1,000)","","24,261,040","","224,059,967","","217,594,826","","12,710,835","","79,587,691","","660,487,293",""
"Total employment, percent change, 2020-2021","","-4.2%","","-4.7%","","-4.1%","","-7.2%","","2.0%","","-3.7%",""
"Total nonemployer establishments, 2019","","86,897","","500,954","","644,341","","61,921","","256,450","","2,658,054",""
"All employer firms, Reference year 2017","","24,430","","148,824","","144,431","","17,206","","65,430","","423,488",""
"Men-owned employer firms, Reference year 2017","","14,791","","75,886","","85,794","","9,255","","39,451","","248,029",""
"Women-owned employer firms, Reference year 2017","","3,728","","29,770","","31,800","","2,649","","10,215","","85,010",""
"Minority-owned employer firms, Reference year 2017","","1,116","","23,641","","28,262","","417","","4,238","","111,086",""
"Nonminority-owned employer firms, Reference year 2017","","20,383","","112,417","","104,764","","14,640","","56,456","","280,280",""
"Veteran-owned employer firms, Reference year 2017","","1,872","","8,687","","12,889","","921","","3,037","","27,092",""
"Nonveteran-owned employer firms, Reference year 2017","","19,020","","124,377","","118,354","","13,703","","56,718","","361,218",""
"Population per square mile, 2020","","74.6","","115.9","","218.6","","69.8","","39.7","","111.6",""
"Population per square mile, 2010","","77.1","","101.2","","202.6","","67.9","","33.6","","96.3",""
"Land area in square miles, 2020","","24,041.15","","66,455.12","","39,482.11","","9,217.45","","82,376.85","","261,267.85",""
"Land area in square miles, 2010","","24,038.21","","66,455.52","","39,490.09","","9,216.66","","82,169.62","","261,231.71",""
"FIPS Code","","""54""","","""53""","","""51""","","""50""","","""49""","","""48""",""
"","","","","","","","","","","","","",""
"NOTE: FIPS Code values are enclosed in quotes to ensure leading zeros remain intact.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Notes","","","","","","","","","","","","",""
"None","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Fact Notes","","","","","","","","","","","","",""
"(a)","Includes persons reporting only one race","","","","","","","","","","","",""
"(c)","Economic Census - Puerto Rico data are not comparable to U.S. Economic Census data","","","","","","","","","","","",""
"(b)","Hispanics may be of any race, so also are included in applicable race categories","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Value Flags","","","","","","","","","","","","",""
"-","Either no or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest or upper interval of an open ended distribution.","","","","","","","","","","","",""
"F","Fewer than 25 firms","","","","","","","","","","","",""
"D","Suppressed to avoid disclosure of confidential information","","","","","","","","","","","",""
"N","Data for this geographic area cannot be displayed because the number of sample cases is too small.","","","","","","","","","","","",""
"FN","Footnote on this item in place of data","","","","","","","","","","","",""
"X","Not applicable","","","","","","","","","","","",""
"S","Suppressed; does not meet publication standards","","","","","","","","","","","",""
"NA","Not available","","","","","","","","","","","",""
"Z","Value greater than zero but less than half unit of measure shown","","","","","","","","","","","",""
